geoid10,pop19,pop22,black19,black22,hisp19,hisp22,perc19,perc22
36081057700,3797,4023,0,115,1219,1911,32.1,50.36
36081058000,3565,3589,2821,2591,432,431,91.25,84.2
36081058200,5054,4509,4080,3143,588,613,92.36,83.3
36081059000,1428,1182,1266,962,92,105,95.1,90.27
36081059100,5210,5226,51,134,2454,2624,48.08,52.77
36081059200,1128,1264,1005,1063,43,76,92.91,90.11
36081059400,1553,1506,1344,1238,81,108,91.76,89.38
36081059600,1465,1373,1377,1172,61,83,98.16,91.41
36081059800,1727,1764,1431,1480,146,102,91.31,89.68
36081060000,1086,1223,941,1039,116,90,97.33,92.31
36081060600,1393,1328,1257,1125,87,89,96.48,91.42
36081060701,16,3,0,0,16,0,100,0
36081060800,1662,1475,1625,1272,16,73,98.74,91.19
36081061000,1556,1204,1499,1073,27,63,98.07,94.35
36081061200,1528,1552,1421,1355,47,76,96.07,92.2
36081061400,1321,1205,1107,1031,96,88,91.07,92.86
36081061601,2384,2095,2168,1830,75,116,94.09,92.89
36081061602,1275,1402,1059,1068,121,143,92.55,86.38
36081061800,1876,1736,1695,1447,20,110,91.42,89.69
36081062000,1518,1419,1223,1184,134,120,89.39,91.9
36081062200,1653,1979,1492,1690,113,147,97.1,92.82
36081062600,3096,2689,2762,2229,241,244,97,91.97
36081063000,1865,1602,1652,1353,160,106,97.16,91.07
36081063200,2459,2261,2192,1932,105,144,93.41,91.82
36081063800,4113,3529,3329,2531,337,447,89.13,84.39
36081064600,3121,3025,2892,2539,154,218,97.6,91.14
36081065000,3070,2831,2710,2410,204,175,94.92,91.31
36081065400,3128,2841,2326,2137,580,325,92.9,86.66
36081065501,0,3,0,0,0,2,,66.67
36081065600,5230,5423,4561,4236,377,545,94.42,88.16
36081066000,3674,3511,3004,2689,431,351,93.49,86.59
36081066400,10018,9797,8493,7570,578,1047,90.55,87.96
36081068000,5064,5220,4355,4259,332,480,92.56,90.79
36081068200,1278,1262,1179,1047,63,130,97.18,93.26
36081069000,3460,3787,3334,3201,36,292,97.4,92.24
36081069400,3687,3604,3063,2985,360,325,92.84,91.84
36081071600,0,1,0,1,0,0,,100
36081078800,1575,2002,1188,1062,141,340,84.38,70.03
36081079000,2508,2875,1501,1437,272,466,70.69,66.19
36081079200,2599,2717,1759,1487,278,365,78.38,68.16
36081081400,3978,4088,2059,1446,597,714,66.77,52.84
36081081800,4381,3569,1614,1038,878,641,56.88,47.04
36081084602,1256,1504,164,499,385,395,43.71,59.44
36081087100,2316,6373,742,539,463,897,52.03,22.53
36081091602,0,12,0,5,0,1,,50
36081092500,3821,4356,156,75,1762,2336,50.2,55.35
36081094201,3347,3729,1088,1215,1094,1079,65.19,61.52
36081094202,4686,4785,1701,1992,1394,1398,66.05,70.85
36081095400,5221,6108,3181,3134,858,1409,77.36,74.38
36081096400,4153,6353,2287,3331,1016,1216,79.53,71.57
36081097202,2634,3460,1647,2373,747,864,90.89,93.55
36081097203,6557,7190,3315,4053,2722,2423,92.07,90.07
36081097204,4052,4078,2420,2448,1004,1042,84.5,85.58
36081099200,4291,4348,2390,2445,1218,1229,84.08,84.5
36081099801,7455,7853,4780,4230,1560,2411,85.04,84.57
36081099802,5391,5822,3486,2774,730,1188,78.2,68.05
36081100801,2277,2496,768,927,394,311,51.03,49.6
36081100802,9029,9132,3806,4216,2898,2504,74.25,73.59
36081101001,11028,10555,3293,3940,4302,2749,68.87,63.37
36081103201,7161,6986,4057,3567,2510,2659,91.71,89.12
36081103202,7195,6861,1671,1319,2467,2213,57.51,51.48
36081122702,7007,6959,2125,2244,2222,2017,62.04,61.23
36081128300,29,78,0,43,0,15,0,74.36
36081138502,39,88,7,1,16,16,58.97,19.32
36085000700,5997,5143,2566,2167,1831,1468,73.32,70.68
36085000900,1860,2240,800,774,673,784,79.19,69.55
36085001100,3032,4234,1538,1293,824,1858,77.9,74.42
36085001700,1518,1865,219,322,506,673,47.76,53.35
36085002100,3627,5467,1080,1466,1432,2062,69.26,64.53
36085002700,2218,2049,573,566,831,924,63.3,72.72
